n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
3350;1.96936;1.96936;1.9778;2.02469;1.96279;2.00124;1.98061;2.05563;2.04626;2.05094;1.98061;2.04063;1.99093;2.03219;2.02844;1.99374;1.97686;1.99093;2.00405;1.98249;2.05001;1.97123;1.96748;2.00968;1.99561;2.01625;2.01437;1.9853;2.00968;2.00781;1.98811;1.98624;2.02187;1.94966;2.01437;2.02656;2.02281;2.02;1.95154;2.04907;1.98155;1.95529;1.97686;2.01718;2.00499;1.99749;1.99468;2.00124;2.03782;1.99843;
3400;1.9792;1.97458;1.98105;2.01616;1.97643;1.99861;2.00138;1.99676;2.01524;2.00692;2.02725;2.02448;1.9866;2.01247;2.02263;1.98937;1.96719;2.04758;2.02078;2.03002;2.00138;2.02633;1.97828;2.00415;1.97828;1.97274;1.98013;1.96812;2.0023;1.95888;1.97089;2.01154;2.01339;1.97736;1.99214;2.00785;2.0023;1.9829;2.04943;2.006;1.99029;2.02078;1.98752;1.99306;1.99399;2.01616;1.9829;2.006;1.95703;1.98844;
3450;2.02701;1.98785;2.00151;2.03247;2.05615;1.9742;2.01881;2.01335;1.9915;1.98057;1.98785;1.98239;1.98148;1.99605;2.00333;2.0006;2.0261;1.99878;1.99423;1.97784;1.99605;2.00516;1.97328;2.01973;1.99787;1.99969;1.98239;2.03156;1.98876;2.02428;1.98239;2.01973;2.0088;1.97237;1.98785;1.95234;2.04067;2.00789;1.95052;2.02519;1.99696;2.00971;2.01973;1.96873;2.01153;1.99696;1.99787;1.98876;1.96509;1.99241;
3500;1.97561;1.99087;1.96933;2.00434;1.98638;2.00703;1.97561;1.9801;1.98549;1.98997;2.01152;1.98279;1.9819;1.99356;2.03126;1.99985;1.98997;2.0537;1.94061;1.97292;2.03485;1.99716;2.016;2.03306;1.95138;1.9801;2.02408;1.93612;1.98459;1.97561;1.97651;2.04383;2.03216;2.01421;1.99267;2.03126;1.96664;2.00164;1.96753;1.99267;1.98459;1.9819;1.96394;2.00703;1.99087;1.99626;1.99446;2.05909;2.00075;1.99626;
3550;2.02301;1.99115;1.97788;2.05398;2.02478;2.02301;1.99469;1.99823;2.03363;2.04159;1.97345;1.95841;2.02655;2;2.02212;2.01681;1.97965;1.97522;1.99027;2.00973;1.98142;2.02212;2.04071;2.01593;2.00089;1.98319;2.00619;1.97788;1.99735;2.00265;1.98496;1.9531;2.04159;2.05398;1.97788;1.97876;1.96814;2.03805;1.97876;1.95133;2.00442;1.99204;2.00265;1.98673;2.01062;1.9823;1.96283;1.99823;1.99115;1.99204;
3600;1.99055;1.96786;2.08305;2.02109;2.02895;2.01935;1.94779;1.96873;1.98793;2.0176;2.01062;2.02196;2.01586;2.00189;2.01411;2.05076;2.0368;2.00451;1.99927;1.9792;2.02196;1.96873;1.99404;2.08218;1.99578;1.96611;1.99055;2.02633;1.96262;1.94517;1.96873;1.98706;1.97048;1.99927;2.04291;1.98706;2.02371;2.02284;1.98706;2.01847;1.99142;1.99055;2.03244;1.97222;2.00189;2.03244;2.01498;1.98618;1.98968;2.00626;
3650;1.97705;1.98566;1.99341;1.99254;2.00632;2.00115;2.00976;2.00115;2.01062;1.99082;2.0657;1.99857;2.00718;2.03816;2.00201;1.98652;2.02439;2.03042;2.0657;2.00287;1.93574;1.99685;2.01062;2.00804;1.97103;1.9891;2.03386;1.99685;2.00029;1.99771;2.01837;1.98049;1.98996;1.97447;1.98566;2.00804;1.98652;1.9891;1.99685;2.02095;1.96414;1.99427;1.99513;2.02267;2.0132;1.99943;1.97877;2.02611;2.04763;2.00029;
3700;2.00128;2.02251;2.00043;2.01741;1.99958;2.01232;2.01741;1.95543;2.00722;2.02675;1.95883;2.05562;2.04288;2.02845;1.99364;1.97496;2.00213;2.01996;2.0242;1.97411;2.02505;1.98854;2.00128;2.01317;2.03864;2.00722;1.99364;2.00637;2.02166;2.00383;1.98769;1.96562;2.04628;1.99873;2.01317;2.00637;1.99788;1.986;1.97581;1.99449;2.00213;2.01656;2.01147;1.96307;1.96647;1.96732;2.00552;1.98345;2.00637;1.98854;
3750;2.00559;1.97795;1.97376;2.04329;2.00894;1.98632;1.96622;1.98968;1.99135;2.02151;2.01062;2.03156;1.97543;1.97627;2.03324;2.02319;2.02235;2.03491;2.02654;1.99051;2.04832;2.03156;2.05083;1.99973;1.95784;1.98381;1.988;1.98381;2.00559;2.02067;1.96706;1.95533;1.97878;1.96789;2.0391;1.93606;2.01732;1.96454;2.0014;2.00224;2.00559;2.04664;1.98465;2.00057;2.01816;1.98381;1.99973;2.03156;2.00811;1.98716;
3800;2.01641;2.00814;2.01227;2.00401;1.99822;1.98003;2.01558;1.98251;1.98334;2.01475;2.00649;2.02467;1.99656;1.99739;2.00566;2.00814;2.00979;2.00483;1.96846;1.97176;2.0131;1.98499;1.98334;1.98747;1.98416;2.00401;2.03459;1.99574;2.03211;1.9792;2.01227;2.00649;1.96846;1.98168;1.95771;2.03459;1.9916;2.01889;2.01641;2.01971;2.01971;1.97342;2.01641;1.99574;2.00566;1.9792;2.01145;2.00235;2.04948;1.96763;
